date,open,high,low,close,volume
2020-01-01,100.0722,99.8946,99.6112,99.7222,773246
2020-01-02,102.1953,103.3976,101.0747,102.3876,34326
2020-01-03,103.8171,103.9569,103.5805,103.8211,209496
2020-01-04,103.4225,104.7169,102.1641,103.1497,292704
2020-01-05,102.4956,103.3558,102.697,103.246,357778
2020-01-06,102.7678,103.7124,102.9656,103.0061,399382
2020-01-07,105.7644,107.5271,104.8155,106.3495,766179
2020-01-08,105.2024,105.4396,104.9257,105.3025,308419
2020-01-09,106.1867,108.0225,105.8171,106.7215,739797
2020-01-10,108.0416,110.2988,109.1565,109.6161,897865
2020-01-11,110.5041,110.2398,109.4637,109.7363,383554
2020-01-12,110.0695,111.7113,109.9965,110.8254,717751
2020-01-13,109.8103,110.2333,108.1972,109.0351,172339
2020-01-14,107.007,107.5774,105.9149,107.3773,231283
2020-01-15,105.3742,107.6157,105.6264,105.7505,34659
2020-01-16,106.9652,107.5043,104.3363,106.4897,595731
2020-01-17,107.3808,108.4863,107.2234,107.8291,959972
2020-01-18,107.7765,107.5607,105.9641,107.0958,566158
2020-01-19,106.5565,108.2918,106.0153,106.8796,230974
2020-01-20,108.1001,108.073,106.2501,108.0631,903931
2020-01-21,109.8859,111.4308,110.1419,110.4442,67613
2020-01-22,108.3319,109.215,107.4425,108.2497,581099
2020-01-23,107.6649,108.5983,108.1715,108.4718,564054
2020-01-24,108.8847,110.3594,108.0176,108.5031,166840
2020-01-25,103.1937,104.2139,102.903,103.4782,525902
2020-01-26,104.124,104.9045,102.5339,103.6738,883554
2020-01-27,102.582,102.9441,100.884,101.8743,566579
2020-01-28,106.0415,107.0868,105.1402,106.3939,513340
2020-01-29,110.6508,111.6893,109.8555,111.3766,323451
2020-01-30,111.4045,112.3232,111.0855,111.4973,768460
2020-01-31,109.7294,110.707,110.5447,110.6702,135628
2020-02-01,108.4065,110.0414,107.1663,107.8378,637059
2020-02-02,106.328,106.88,104.867,106.5386,211922
2020-02-03,105.6024,107.0957,105.5699,106.0543,944313
2020-02-04,105.4704,105.0583,104.8485,104.9995,617886
2020-02-05,102.4397,102.857,100.7986,102.4034,62733
2020-02-06,102.8498,105.2197,102.7512,103.0022,250565
2020-02-07,102.3901,103.7544,100.9958,102.5907,926245
2020-02-08,99.6373,101.0192,100.1344,100.5282,200659
